MEASSITEHASH , EQENTRYID , MEASVALUE , ISVALIDFLAG , CHANNEL , USERCR , USERED , CREATETIME , EDITTIME , UNKNOWN_2302 , 19272 , 000100 , T , None , vanyash , vanyash , 2018-04-27 11:58:46 , 2018-09-17 16:59:52 ,
UNKNOWN_153551 , 29105 , 1000267 , T , None , vanyash , vanyash , 2018-07-15 10:40:25 , 2018-09-17 17:00:02 ,
UNKNOWN_151232 , 29103 , 1000263 , T , None , vanyash , vanyash , 2018-07-15 10:32:14 , 2018-09-17 17:00:02 ,
UNKNOWN_152361 , 29104 , 1000264 , T , None , vanyash , vanyash , 2018-07-15 10:36:16 , 2018-09-17 17:00:02 ,
UNKNOWN_154667 , 29106 , 1000268 , T , None , vanyash , vanyash , 2018-07-15 10:44:22 , 2018-09-17 17:00:02 ,
UNKNOWN_155857 , 29107 , 1000269 , T , None , vanyash , vanyash , 2018-07-15 10:48:36 , 2018-09-17 17:00:02 ,
UNKNOWN_156985 , 29108 , 1000271 , T , None , vanyash , vanyash , 2018-07-15 10:52:26 , 2018-09-17 17:00:02 ,
UNKNOWN_158175 , 29109 , 1000275 , T , None , vanyash , vanyash , 2018-07-15 10:56:22 , 2018-09-17 17:00:03 ,
UNKNOWN_159327 , 29110 , 1000276 , T , None , vanyash , vanyash , 2018-07-15 11:00:06 , 2018-09-17 17:00:03 ,
UNKNOWN_160458 , 29111 , 1000277 , T , None , vanyash , vanyash , 2018-07-15 11:03:46 , 2018-09-17 17:00:03 ,
UNKNOWN_161584 , 29112 , 1000278 , T , None , vanyash , vanyash , 2018-07-15 11:07:08 , 2018-09-17 17:00:03 ,
UNKNOWN_163903 , 29114 , 1000280 , T , None , vanyash , vanyash , 2018-07-15 11:14:13 , 2018-09-17 17:00:03 ,
UNKNOWN_165094 , 29115 , 1000283 , T , None , vanyash , vanyash , 2018-07-15 11:17:47 , 2018-09-17 17:00:03 ,
UNKNOWN_166284 , 29116 , 1000284 , T , None , vanyash , vanyash , 2018-07-15 11:21:13 , 2018-09-17 17:00:03 ,
UNKNOWN_162713 , 29113 , 1000279 , T , None , vanyash , vanyash , 2018-07-15 11:10:38 , 2018-09-17 17:00:03 ,
UNKNOWN_167412 , 29117 , 1000285 , T , None , vanyash , vanyash , 2018-07-15 11:24:14 , 2018-09-17 17:00:04 ,
UNKNOWN_168539 , 29118 , 1000287 , T , None , vanyash , vanyash , 2018-07-15 11:27:16 , 2018-09-17 17:00:04 ,
UNKNOWN_169729 , 29119 , 1000288 , T , None , vanyash , vanyash , 2018-07-15 11:30:24 , 2018-09-17 17:00:04 ,
UNKNOWN_173175 , 29122 , 1000294 , T , None , vanyash , vanyash , 2018-07-15 11:39:04 , 2018-09-17 17:00:04 ,
UNKNOWN_174303 , 29123 , 1000295 , T , None , vanyash , vanyash , 2018-07-15 11:41:46 , 2018-09-17 17:00:04 ,
UNKNOWN_170919 , 29120 , 1000290 , T , None , vanyash , vanyash , 2018-07-15 11:33:26 , 2018-09-17 17:00:04 ,
UNKNOWN_172046 , 29121 , 1000291 , T , None , vanyash , vanyash , 2018-07-15 11:36:18 , 2018-09-17 17:00:04 ,
UNKNOWN_175429 , 29124 , 1000296 , T , None , vanyash , vanyash , 2018-07-15 11:44:19 , 2018-09-17 17:00:04 ,
UNKNOWN_176555 , 29125 , 1000298 , T , None , vanyash , vanyash , 2018-07-15 11:46:56 , 2018-09-17 17:00:04 ,
UNKNOWN_177745 , 29126 , 1000299 , T , None , vanyash , vanyash , 2018-07-15 11:49:36 , 2018-09-17 17:00:04 ,
UNKNOWN_182378 , 29130 , 1000303 , T , None , vanyash , vanyash , 2018-07-15 11:59:20 , 2018-09-17 17:00:04 ,
UNKNOWN_178935 , 29127 , 1000300 , T , None , vanyash , vanyash , 2018-07-15 11:52:15 , 2018-09-17 17:00:05 ,
UNKNOWN_180061 , 29128 , 1000301 , T , None , vanyash , vanyash , 2018-07-15 11:54:38 , 2018-09-17 17:00:05 ,
UNKNOWN_181251 , 29129 , 1000302 , T , None , vanyash , vanyash , 2018-07-15 11:57:07 , 2018-09-17 17:00:05 ,
UNKNOWN_183499 , 29131 , 1000305 , T , None , vanyash , vanyash , 2018-07-15 12:01:31 , 2018-09-17 17:00:05 ,
UNKNOWN_184682 , 29132 , 1000308 , T , None , vanyash , vanyash , 2018-07-15 12:03:43 , 2018-09-17 17:00:05 ,
UNKNOWN_185808 , 29133 , 1000309 , T , None , vanyash , vanyash , 2018-07-15 12:05:39 , 2018-09-17 17:00:05 ,
UNKNOWN_186998 , 29134 , 1000310 , T , None , vanyash , vanyash , 2018-07-15 12:07:46 , 2018-09-17 17:00:05 ,
UNKNOWN_188125 , 29135 , 1000311 , T , None , vanyash , vanyash , 2018-07-15 12:09:37 , 2018-09-17 17:00:05 ,
UNKNOWN_189253 , 29136 , 1000312 , T , None , vanyash , vanyash , 2018-07-15 12:11:27 , 2018-09-17 17:00:05 ,
UNKNOWN_190381 , 29137 , 1000313 , T , None , vanyash , vanyash , 2018-07-15 12:13:12 , 2018-09-17 17:00:05 ,
UNKNOWN_191514 , 29138 , 1000314 , T , None , vanyash , vanyash , 2018-07-15 12:14:51 , 2018-09-17 17:00:06 ,
UNKNOWN_192642 , 29139 , 1000315 , T , None , vanyash , vanyash , 2018-07-15 12:16:22 , 2018-09-17 17:00:06 ,
UNKNOWN_193772 , 29140 , 1000317 , T , None , vanyash , vanyash , 2018-07-15 12:17:49 , 2018-09-17 17:00:06 ,
UNKNOWN_194901 , 29141 , 1000322 , T , None , vanyash , vanyash , 2018-07-15 12:19:10 , 2018-09-17 17:00:06 ,
UNKNOWN_196019 , 29142 , 1000323 , T , None , vanyash , vanyash , 2018-07-15 12:20:35 , 2018-09-17 17:00:06 ,
UNKNOWN_197139 , 29143 , 1000326 , T , None , vanyash , vanyash , 2018-07-15 12:21:49 , 2018-09-17 17:00:06 ,
UNKNOWN_198265 , 29144 , 1000328 , T , None , vanyash , vanyash , 2018-07-15 12:22:59 , 2018-09-17 17:00:06 ,
UNKNOWN_201712 , 29147 , 1000332 , T , None , vanyash , vanyash , 2018-07-15 12:26:08 , 2018-09-17 17:00:06 ,
UNKNOWN_202863 , 29148 , 1000333 , T , None , vanyash , vanyash , 2018-07-15 12:26:59 , 2018-09-17 17:00:06 ,
UNKNOWN_199393 , 29145 , 1000329 , T , None , vanyash , vanyash , 2018-07-15 12:24:05 , 2018-09-17 17:00:06 ,
UNKNOWN_200522 , 29146 , 1000331 , T , None , vanyash , vanyash , 2018-07-15 12:25:06 , 2018-09-17 17:00:06 ,
UNKNOWN_207431 , 29152 , 1000337 , T , None , vanyash , vanyash , 2018-07-15 12:29:37 , 2018-09-17 17:00:07 ,
UNKNOWN_203992 , 29149 , 1000334 , T , None , vanyash , vanyash , 2018-07-15 12:27:46 , 2018-09-17 17:00:07 ,
UNKNOWN_205183 , 29150 , 1000335 , T , None , vanyash , vanyash , 2018-07-15 12:28:30 , 2018-09-17 17:00:07 ,
UNKNOWN_206311 , 29151 , 1000336 , T , None , vanyash , vanyash , 2018-07-15 12:29:05 , 2018-09-17 17:00:07 ,
UNKNOWN_210813 , 29155 , 1000344 , T , None , vanyash , vanyash , 2018-07-15 12:30:56 , 2018-09-17 17:00:07 ,
UNKNOWN_208560 , 29153 , 1000338 , T , None , vanyash , vanyash , 2018-07-15 12:30:07 , 2018-09-17 17:00:07 ,
